arm,stt,stratum,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,ndcg@5,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense_then_expand,110,mixed_l41_other,3,5,0.3333333333333333,0.2,0.25,0.20210734650054757,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.20210734650054757,19,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.31691664122656543,19,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.31691664122656543,0.0,0.25,0.052
dense_then_expand,112,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.169
dense_then_expand,115,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.16
dense_then_expand,124,no_l41,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.162
dense_then_expand,127,l41_only,2,5,0.0,0.0,0.0,0.0,11,0.5,0.09090909090909091,0.15384615384615385,0.19342640361727081,11,0.5,0.09090909090909091,0.15384615384615385,0.19342640361727081,11,0.5,0.09090909090909091,0.15384615384615385,0.19342640361727081,0.0,0.125,0.189
dense_then_expand,128,no_l41,1,5,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.117
dense_then_expand,129,l41_only,1,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.047
dense_then_expand,131,l41_only,2,5,0.5,0.2,0.28571428571428575,0.6131471927654584,12,0.5,0.08333333333333333,0.14285714285714285,0.6131471927654584,12,0.5,0.08333333333333333,0.14285714285714285,0.6131471927654584,12,0.5,0.08333333333333333,0.14285714285714285,0.6131471927654584,0.5,1.0,0.173
dense_then_expand,132,mixed_l41_other,5,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.063
dense_then_expand,133,l41_only,1,5,0.0,0.0,0.0,0.0,12,1.0,0.08333333333333333,0.15384615384615385,0.27894294565112987,12,1.0,0.08333333333333333,0.15384615384615385,0.27894294565112987,12,1.0,0.08333333333333333,0.15384615384615385,0.27894294565112987,0.0,0.09090909090909091,0.131
dense_then_expand,138,l41_only,1,5,0.0,0.0,0.0,0.0,12,1.0,0.08333333333333333,0.15384615384615385,0.27894294565112987,12,1.0,0.08333333333333333,0.15384615384615385,0.27894294565112987,12,1.0,0.08333333333333333,0.15384615384615385,0.27894294565112987,0.0,0.09090909090909091,0.173
dense_then_expand,143,no_l41,4,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.183
dense_then_expand,147,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.085
dense_then_expand,151,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.032
dense_then_expand,153,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.11
dense_then_expand,164,l41_only,1,5,0.0,0.0,0.0,0.0,11,1.0,0.09090909090909091,0.16666666666666669,0.3333333333333333,11,1.0,0.09090909090909091,0.16666666666666669,0.3333333333333333,11,1.0,0.09090909090909091,0.16666666666666669,0.3333333333333333,0.0,0.14285714285714285,0.127
dense_then_expand,167,l41_only,1,5,1.0,0.2,0.33333333333333337,1.0,11,1.0,0.09090909090909091,0.16666666666666669,1.0,11,1.0,0.09090909090909091,0.16666666666666669,1.0,11,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,1.0,0.099
