arm,stt,category,n_gold,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@30,recall@30,precision@30,f1@30,ndcg@30,n_retrieved@50,recall@50,precision@50,f1@50,ndcg@50,n_retrieved@70,recall@70,precision@70,f1@70,ndcg@70,n_retrieved@100,recall@100,precision@100,f1@100,ndcg@100,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense,169,in_corpus,7,12,0.2857142857142857,0.16666666666666666,0.2105263157894737,0.1509568868954004,20,0.2857142857142857,0.1,0.14814814814814817,0.1509568868954004,30,0.2857142857142857,0.06666666666666667,0.10810810810810811,0.1509568868954004,50,0.2857142857142857,0.04,0.07017543859649124,0.1509568868954004,66,0.2857142857142857,0.030303030303030304,0.054794520547945216,0.1509568868954004,66,0.2857142857142857,0.030303030303030304,0.054794520547945216,0.1509568868954004,66,0.2857142857142857,0.030303030303030304,0.054794520547945216,0.1509568868954004,0.0,0.09090909090909091,0.032
dense,172,unparseable,4,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.032
dense,178,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.032
dense,180,in_corpus,6,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.16666666666666666,0.02,0.03571428571428571,0.055427457405235275,52,0.16666666666666666,0.019230769230769232,0.034482758620689655,0.055427457405235275,52,0.16666666666666666,0.019230769230769232,0.034482758620689655,0.055427457405235275,52,0.16666666666666666,0.019230769230769232,0.034482758620689655,0.055427457405235275,0.0,0.023255813953488372,0.053
dense,181,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.5,0.03333333333333333,0.0625,0.12754356661958802,50,0.5,0.02,0.038461538461538464,0.12754356661958802,56,0.5,0.017857142857142856,0.03448275862068965,0.12754356661958802,56,0.5,0.017857142857142856,0.03448275862068965,0.12754356661958802,56,0.5,0.017857142857142856,0.03448275862068965,0.12754356661958802,0.0,0.037037037037037035,0.032
dense,188,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.6309297535714575,20,1.0,0.05,0.09523809523809523,0.6309297535714575,30,1.0,0.03333333333333333,0.06451612903225806,0.6309297535714575,48,1.0,0.020833333333333332,0.04081632653061225,0.6309297535714575,48,1.0,0.020833333333333332,0.04081632653061225,0.6309297535714575,48,1.0,0.020833333333333332,0.04081632653061225,0.6309297535714575,48,1.0,0.020833333333333332,0.04081632653061225,0.6309297535714575,0.0,0.5,0.027
dense,190,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.032
dense,198,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.5,20,1.0,0.05,0.09523809523809523,0.5,30,1.0,0.03333333333333333,0.06451612903225806,0.5,50,1.0,0.02,0.0392156862745098,0.5,57,1.0,0.017543859649122806,0.034482758620689655,0.5,57,1.0,0.017543859649122806,0.034482758620689655,0.5,57,1.0,0.017543859649122806,0.034482758620689655,0.5,0.0,0.3333333333333333,0.032
dense,20,in_corpus,2,12,1.0,0.16666666666666666,0.2857142857142857,0.7977228895450266,20,1.0,0.1,0.18181818181818182,0.7977228895450266,30,1.0,0.06666666666666667,0.125,0.7977228895450266,36,1.0,0.05555555555555555,0.10526315789473684,0.7977228895450266,36,1.0,0.05555555555555555,0.10526315789473684,0.7977228895450266,36,1.0,0.05555555555555555,0.10526315789473684,0.7977228895450266,36,1.0,0.05555555555555555,0.10526315789473684,0.7977228895450266,0.5,1.0,0.227
dense,23,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,1.0,20,1.0,0.05,0.09523809523809523,1.0,30,1.0,0.03333333333333333,0.06451612903225806,1.0,50,1.0,0.02,0.0392156862745098,1.0,52,1.0,0.019230769230769232,0.03773584905660378,1.0,52,1.0,0.019230769230769232,0.03773584905660378,1.0,52,1.0,0.019230769230769232,0.03773584905660378,1.0,1.0,1.0,0.131
dense,34,ooc,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.043
dense,37,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.5,0.05,0.09090909090909091,0.14704034066641014,30,0.5,0.03333333333333333,0.0625,0.14704034066641014,50,0.5,0.02,0.038461538461538464,0.14704034066641014,56,1.0,0.03571428571428571,0.0689655172413793,0.2535840728479609,56,1.0,0.03571428571428571,0.0689655172413793,0.2535840728479609,56,1.0,0.03571428571428571,0.0689655172413793,0.2535840728479609,0.0,0.058823529411764705,0.064
dense,45,in_corpus,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.07
dense,46,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,60,1.0,0.016666666666666666,0.03278688524590164,0.16929380759878143,60,1.0,0.016666666666666666,0.03278688524590164,0.16929380759878143,60,1.0,0.016666666666666666,0.03278688524590164,0.16929380759878143,0.0,0.01694915254237288,0.042
dense,47,in_corpus,3,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.12681701683239352,20,0.3333333333333333,0.05,0.08695652173913045,0.12681701683239352,30,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.12681701683239352,42,0.3333333333333333,0.023809523809523808,0.044444444444444446,0.12681701683239352,42,0.3333333333333333,0.023809523809523808,0.044444444444444446,0.12681701683239352,42,0.3333333333333333,0.023809523809523808,0.044444444444444446,0.12681701683239352,42,0.3333333333333333,0.023809523809523808,0.044444444444444446,0.12681701683239352,0.0,0.08333333333333333,0.048
dense,5,unparseable,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.235
dense,56,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,62,0.5,0.016129032258064516,0.03125,0.10422988231998431,62,0.5,0.016129032258064516,0.03125,0.10422988231998431,62,0.5,0.016129032258064516,0.03125,0.10422988231998431,0.0,0.017241379310344827,0.055
dense,57,unparseable,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.096
dense,59,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.6309297535714575,20,1.0,0.05,0.09523809523809523,0.6309297535714575,30,1.0,0.03333333333333333,0.06451612903225806,0.6309297535714575,37,1.0,0.02702702702702703,0.052631578947368425,0.6309297535714575,37,1.0,0.02702702702702703,0.052631578947368425,0.6309297535714575,37,1.0,0.02702702702702703,0.052631578947368425,0.6309297535714575,37,1.0,0.02702702702702703,0.052631578947368425,0.6309297535714575,0.0,0.5,0.032
dense,62,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.5,0.05,0.09090909090909091,0.16104282508920814,30,0.5,0.03333333333333333,0.0625,0.16104282508920814,50,1.0,0.04,0.07692307692307693,0.27403900579235924,52,1.0,0.038461538461538464,0.07407407407407407,0.27403900579235924,52,1.0,0.038461538461538464,0.07407407407407407,0.27403900579235924,52,1.0,0.038461538461538464,0.07407407407407407,0.27403900579235924,0.0,0.07692307692307693,0.056
dense,66,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.046
dense,71,in_corpus,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.032
