arm,stt,category,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,n_retrieved@10,recall@10,precision@10,f1@10,n_retrieved@12,recall@12,precision@12,f1@12,n_retrieved@20,recall@20,precision@20,f1@20,n_retrieved@30,recall@30,precision@30,f1@30,n_retrieved@all,recall@all,precision@all,f1@all,r_precision,mrr,ndcg@10,ndcg@all,elapsed_s
dense,108,unparseable,4,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,29,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088
dense,109,in_corpus,2,5,1.0,0.4,0.5714285714285715,10,1.0,0.2,0.33333333333333337,12,1.0,0.16666666666666666,0.2857142857142857,20,1.0,0.1,0.18181818181818182,27,1.0,0.07407407407407407,0.13793103448275862,27,1.0,0.07407407407407407,0.13793103448275862,0.5,1.0,0.8772153153380493,0.8772153153380493,0.193
dense,11,mixed,2,5,0.5,0.2,0.28571428571428575,10,0.5,0.1,0.16666666666666669,12,0.5,0.08333333333333333,0.14285714285714285,19,0.5,0.05263157894736842,0.09523809523809525,19,0.5,0.05263157894736842,0.09523809523809525,19,0.5,0.05263157894736842,0.09523809523809525,0.0,0.3333333333333333,0.3065735963827292,0.3065735963827292,0.063
dense,110,in_corpus,3,5,0.0,0.0,0.0,10,0.3333333333333333,0.1,0.15384615384615383,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,20,0.3333333333333333,0.05,0.08695652173913045,30,0.3333333333333333,0.03333333333333333,0.0606060606060606,33,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.0,0.1111111111111111,0.14126697285982898,0.14126697285982898,0.142
dense,111,unparseable,4,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183
dense,112,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058
dense,113,unparseable,4,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
dense,114,in_corpus,1,5,0.0,0.0,0.0,10,1.0,0.1,0.18181818181818182,12,1.0,0.08333333333333333,0.15384615384615385,20,1.0,0.05,0.09523809523809523,25,1.0,0.04,0.07692307692307693,25,1.0,0.04,0.07692307692307693,0.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.133
dense,115,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094
dense,116,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,1.0,0.05,0.09523809523809523,30,1.0,0.03333333333333333,0.06451612903225806,34,1.0,0.029411764705882353,0.05714285714285715,0.0,0.058823529411764705,0.0,0.23981246656813146,0.113
dense,117,in_corpus,1,5,1.0,0.2,0.33333333333333337,10,1.0,0.1,0.18181818181818182,12,1.0,0.08333333333333333,0.15384615384615385,20,1.0,0.05,0.09523809523809523,25,1.0,0.04,0.07692307692307693,25,1.0,0.04,0.07692307692307693,0.0,0.2,0.38685280723454163,0.38685280723454163,0.068
dense,118,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,1.0,0.05,0.09523809523809523,30,1.0,0.03333333333333333,0.06451612903225806,33,1.0,0.030303030303030304,0.05882352941176471,0.0,0.058823529411764705,0.0,0.23981246656813146,0.075
dense,119,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,28,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069
dense,12,in_corpus,2,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,23,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063
dense,120,in_corpus,1,5,0.0,0.0,0.0,10,1.0,0.1,0.18181818181818182,12,1.0,0.08333333333333333,0.15384615384615385,18,1.0,0.05555555555555555,0.10526315789473684,18,1.0,0.05555555555555555,0.10526315789473684,18,1.0,0.05555555555555555,0.10526315789473684,0.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.085
dense,121,in_corpus,1,5,1.0,0.2,0.33333333333333337,10,1.0,0.1,0.18181818181818182,12,1.0,0.08333333333333333,0.15384615384615385,20,1.0,0.05,0.09523809523809523,30,1.0,0.03333333333333333,0.06451612903225806,36,1.0,0.027777777777777776,0.05405405405405406,0.0,0.25,0.43067655807339306,0.43067655807339306,0.051
dense,122,unparseable,4,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
dense,123,unparseable,2,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063
dense,124,unparseable,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,29,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039
dense,125,unparseable,4,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051
